"song_index","Title","release_date","text"
79,"Bombers",1990-01-30,"All clear wailed the sirens Sunshine on the wasteland Old man sitting in the white sand Think we're in for a big surprise Right between the eyes Seemed a good idea To drop a bomb on the wasteland here Only one man could be seen And he was old and so serene Captain sat in his deckchair And the red light flashed beware Pilot felt quite big-time As the bombs sailed through the air Well, they danced and sang When the bang went bang But the eyes popped out When the smoke began to clear It was positively queer ""Die"" said the General ""Cobblers"" said the man So the Pentagon sent a cable And the Queen a telegram A-bombs, H-bombs, even very small ones Ripped apart that sand 'Til the stench was just revolting And the sky a greenish tan Then a soldier said ""Sir, there's a crack in the world"" Rivers went squash And the bits flew far and wide How the universe sighed! When the smoke had blown away There was nothing left to view Except a man dear Lord who looked like you Floating high up in the sky"
81,"Boys Keep Swinging",1979-04-27,"1-2-3-4 Heaven loves ya The clouds part for ya Nothing stands in your way When you're a boy Clothes always fit ya Life is a pop of the cherry When you're a boy When you're a boy You can wear a uniform When you're a boy Other boys check you out You get a girl These are your favourite things When you're a boy Boys Boys Boys keep swinging Boys always work it out Uncage the colours Unfurl the flag Luck just kissed you hello! When you're a boy They'll never clone ya You're always first on the line When you're a boy When you're a boy You can buy a home of your own When you're a boy Learn to drive and everything You'll get your share When you're a boy Boys Boys Boys keep swinging Boys always work it out"
83,"Breaking Glass",1977-01-14,"Lately, I've been, breaking glass in your room again Listen Don't look at the carpet, I drew something awful on it See You're such a wonderful person But you got problems Oh-oh-oh-oh I'll never touch you"
86,"Buddha Of Suburbia",1993-11-08,"Living in lies by the railway line Pushing the hair from my eyes Elvis is English and climbs the hills Can't tell the bullshit from the lies Screaming along in South London Vicious but ready to learn Sometimes I fear that the whole world is queer Sometimes but always in vain CHORUS So I'll wait until we're sane Wait until we're blessed and all the same Full of blood, loving life and all it's got to give Englishman going insane Down on my knees in suburbia Down on myself in every way With great expectations I change all my clothes Mustn't grumble at silver and gold Screaming above Central London Never bored, so I'll never get old CHORUS Day after Day after Day Day after Zane, Zane, Zane Ouvre le chien Day after Day Day after Zane, Zane, Zane Ouvre le chien Day after"
93,"Can You Hear Me",1975-03-07,"Once we were lovers, can they understand? Closer than others I was your, I was your man Don't talk of heartaches, ooh, I remember them all And I'm taking you out one day, to see if I'm Faking it all CHORUS Can you hear me? Can you feel me inside? Show your love, love Take it in right Take it in right There's been many others so many times Sixty new cities, an' what do I, what do I What do I find? I want love so badly, I want you most of all You know, it's harder to take it from anyone It's harder to fall Can you hear me call ya? CHORUS Well, can you hear me? Can you feel me inside? Show your love, show your sweet, sweet love Show me your love Take it in right Take it in right, yeah Take it in right to your love life, baby Take it in right to your love life Take it in right, take it in right, right to your love life Take it in right, ah Take it in, take it in right Right down, right down Mmmm, why don't you take it? Can you hear me? Can you feel me? Can you? Take it in right Wuhh, right down, right down Can you take it? Feel me? Down, to right down To your heart To your heart Take it down, take it down Take it in right (Oo-oo-oohh"
95,"Can't Help Thinking About Me",2021-11-19,"Question-time that says I brought dishonour My head's bowed in shame It seems that I've blackened the family name Mother says that she can't stand the neighbours' talking I've gotta pack my bags, leave this home, start walking, yeah I'm guilty I wish that I was sorry this time I wish that I could pay for my crime I can't help thinking about me Remember when we used to go to church on Sunday's I lay awake at night, terrified of school on Monday's Oh, but it's too late now I wish I was a child again I wish I felt secure again I can't help thinking about me As I pass a recreation ground I remember my friends, always been found and I can't I can't help thinking about me Now I leave them all in the Never-Never Land The station seems so cold, the ticket's in my hand My girl calls my name ""Hi Dave Drop in, see around, come back If you're this way again"" Oh, I'm on my own I've got a long way to go I hope I make it on my own I can't help thinking about me"
97,"Candidate",1974-04-24,"I'll make you a deal, like any other candidate We'll pretend we're walking home 'cos your future's at stake My set is amazing, it even smells like a street There's a bar at the end where I can meet you and your friend Someone scrawled on the wall 'I smell the blood of Les Tricoteuses' Wrote up scandals in other bars I'm having so much fun with the poisonous people Spreading rumours and lies and stories they've made up Some make you sing and some make you scream One makes you wish that you'd never been seen But there's a shop on the corner that's selling papier mache Making bullet-proof faces, Charlie Manson, Cassius Clay If you want it, boys, get it here, thing So you scream out of line ""I want you! I need you! Anyone out there? Anytime?"" Tres butch little number whines ""Hey girlie, I want you When it's good, it's really good, and when it's bad I go to pieces"" If you want it, boys, get it here, thing On the street where you live I could not hold up my head For I put all I had in another bed On another floor, in the back of a car In a cellar like a church with the door ajar Well, I guess we must be looking for a different kind But we can't stop trying 'til we break up our minds 'Til the sun drips blood on the seedy young knight Who press you on the ground while shaking in fright Well I guess we could cruise down one more time With you by my side, it should be fine We'll buy some drugs and watch a band Then jump in a river holding hands"
100,"Cat People (Putting Out Fire)",1982-04-02,"See these eyes so green I can stare for a thousand years Colder than the Moon Well it's been so long And I've been putting out fire with gasoline See these eyes so red Red like jungle burning bright Those who feel me near Pull the blinds and change their minds It's been so long Still this pulsing night A plague I call a heartbeat Just be still with me Well you wouldn't believe what I've been through You've been so long Well it's been so long I've been putting out fire with gasoline Putting out fire With gasoline See these tears so blue An ageless heart that can never mend Tears can never dry A judgement made can never bend See these eyes so green I can stare for a thousand years Just be still with me You wouldn't believe what I've been through Well you've been so long Well it's been so long And I've been putting out fire with gasoline Putting out the fire with gasoline Putting out fire Well I've been putting out fire Well, it's been so long, so long   Yes, it's been so long   I've been putting out fire I've been putting out fire Putting out fire I've been putting out fire I've been putting out fire Putting out fire Been so long Been so long Putting out fire I've been putting out fire"
102,"Changes",1972-01-07,"Oh yeah Ooo Still don't know what I was waiting for And my time was running wild A million dead-end streets and Every time I thought I'd got it made It seemed the taste was not so sweet So I turned myself to face me But I've never caught a glimpse Of how the others must see the faker I'm much too fast to take that test Ch-ch-ch-ch-changes Ch-ch-changes Don't wanna be a richer man Ch-ch-ch-ch-changes Ch-ch-changes Just gonna have to be a different man Time may change me But I can't trace time Ooo yeah I watch the ripples change their size But never leave the stream Of warm impermanence and So the days float through my eyes But still the days seem the same And these children that you spit on As they try to change their worlds Are immune to your consultations They're quite aware what they're going through Ch-ch-ch-ch-changes Ch-ch-changes Don't tell them to grow up and out of it Ch-ch-ch-ch-changes Ch-ch-changes Where's your shame You've left us up to our necks in it Time may change me But you can't trace time Strange fascination, fascinating me Ah changes are taking the pace I'm going through Ch-ch-ch-ch-changes Ch-ch-changes Oh, look out you rock 'n rollers Ch-ch-ch-ch-changes Ch-ch-changes Pretty soon now you're gonna get older Time may change me But I can't trace time I said that time may change me But I can't trace time"
104,"Chant Of The Ever-Circling Skeletal Family",1974-04-24,"CHANT Brother Ooh-ooh Shake it up, shake it up Move it up, move it up Bro bro bro bro bro bro bro bro bro"
105,"Chilly Down",1986-06-23,"When the sun goes down And the bats are back to bed The brothers come 'round I get out of my dirty bed I shake my pretty little head Tap my pretty little feet Feeling brighter than sunlight Louder than thunder Bouncing like a yo-yo, wooh Don't got no problems Ain't got no suitcase Ain't got no clothes to worry about Ain't got no real estate or jewelry or gold mines to hang me up. I just throw in my hand With the chilliest bunch in the land They don't look much They sure chilly chilly They positively glow glow, huh Chilly down with the fire gang Think small with the fire gang Bad hep with the fire gang When your thing gets wild Chilly down Chilly down with the fire gang Act tall with the fire gang Good times, bad food When your thing gets wild Chilly down, chilly down Drive you crazy, really lazy, eye rollin', funky strollin', ball playin' Hip swayin', trouble makin', booty shakin', tripping, passing, jumping Bouncing, drivin', stylin', creeping, pouncing, shoutin', screamin' Double dealin', rockin', rollin', and a reelin' With the mackin' sex appealin'. Can you dig our groovy feelin'? So when things get too tough And your chin is dragging on the ground And even down looks up Bad luck heh heh We can show you a good time And we don't charge nothin' Just strut your nasty stuff Wiggle in the middle yeh Get the town talkin', fire gang Chilly down with the fire gang Think small with the fire gang Bad hep with the fire gang When your thing gets wild Chilly down Chilly down with the fire gang Think small with the fire gang Good times, bad food When your thing gets wild Chilly down Chilly down with the fire gang Think small with the fire gang Bad hep with the fire gang"
106,"China Girl",1983-04-14,"Oh oh oh ohhhh, little China Girl Oh oh oh ohhhh, little China Girl I could escape this feeling, with my China Girl I feel a wreck without my, little China Girl I hear her heart beating, loud as thunder Saw they stars crashing I'm a mess without, my little China Girl Wake up in the morning where's my, little China Girl I hear her heart's beating, loud as thunder I saw the stars crashing down I feel a-tragic like I'm Marlon Brando When I look at my China Girl And I could pretend that nothing really meant too much When I look at my China Girl I stumble into town, just like a sacred cow Visions of swastikas in my head Plans for everyone It's in the whites of my eyes My little China Girl You shouldn't mess with me I'll ruin everything you are Y'know, I'll give you television I'll give you eyes of blue I'll give you a man who wants to rule the world And when I get excited My little China Girl says ""Oh baby just you shut your mouth"" She says... ""sh-sh-shhh"" She says... ""sh-sh-shhh"" She says She says And when I get excited My little China Girl says ""Oh baby just you shut your mouth"" And when I get excited My little China Girl says ""Oh baby just you shut your mouth"" She says... ""sh-sh-shhh"" She says Oh oh oh ohhhh, little China Girl Oh oh oh ohhhh, little China Girl Oh oh oh ohhhh, little China Girl Oh oh oh ohhhh, little China Girl"
109,"Come And Buy My Toys",1967-06-01,"Smiling girls and rosy boys Come and buy my little toys Monkeys made of gingerbread And sugar horses painted red Rich mens' children running past Their fathers dressed in hose Golden hair and mud of many acres on their shoes Gazing eyes and running wild Past the stocks and over stiles Kiss the wind oh merry child But come and buy my toys You've watched your father plough the fields with a ram's horn Sowed it wide with peppercorn and furrowed with a bramble thorn Reaped it with a sharpened scythe, threshed it with a quill The miller told your father that he'd work it with the greatest will Now your watching's over you must play with girls and boys Leave the parsley on the stalls Come and buy my toys You shall own a Cambric shirt You shall work your father's land But now you shall play in the market square Till you'll be a man Smiling girls and rosy boys Come and buy my little toys Monkeys made of gingerbread And sugar horses painted red"
118,"Cracked Actor",1973-04-13,"I've come on a few years from my Hollywood Highs The best of the last, the cleanest star they ever had I'm stiff on my legend, the films that I made Forget that I'm fifty 'cos you just got paid CHORUS Crack baby crack, show me you're real Smack baby smack, is that all that you feel? Suck baby suck, give me your head Before you start professing that you're knocking me dead You caught yourself a trick down on Sunset and Vine But since he pinned you baby you're a porcupine You sold me illusions for a sack full of cheques You've made a bad connection 'cos I just want your sex CHORUS"
